period,number,big_small,color
60540,5,big,red
60541,3,small,red
60542,0,small,red
60543,0,small,red
60544,7,big,blue
60545,6,big,green
60546,1,small,green
60547,5,big,red
60548,9,big,green
60549,4,small,green
60550,4,small,green
60551,5,big,red
60552,9,big,green
60553,4,small,green
60554,2,small,blue
60555,2,small,blue
60556,1,small,green
60557,3,small,red
60558,3,small,red
60559,6,big,green
60560,9,big,green
60561,3,small,red
60562,3,small,red
60563,3,small,red
60564,9,big,green
60565,3,small,red
60566,3,small,red
60567,8,big,red
60568,6,big,green
60569,6,big,green
60570,9,big,green
60571,4,small,green
60572,2,small,blue
60573,2,small,blue
60574,2,small,blue
60575,2,small,blue
60576,8,big,red
60577,6,big,green
60578,8,big,red
60579,4,small,green
60580,2,small,blue
60581,3,small,red
60582,9,big,green
60583,8,big,red
60584,1,small,green
60585,1,small,green
60586,5,big,red
60587,6,big,green
60588,5,big,red
60589,0,small,red
60590,9,big,green
60591,5,big,red
60592,6,big,green
60593,8,big,red
60594,5,big,red
60595,0,small,red
60596,4,small,green
60597,0,small,red
60598,8,big,red
60599,0,small,red
60600,8,big,red
60601,8,big,red
60602,2,small,blue
60603,1,small,green
60604,0,small,red
60605,9,big,green
60606,8,big,red
60607,3,small,red
60608,4,small,green
60609,0,small,red
60610,3,small,red
60611,0,small,red
60612,9,big,green
60613,5,big,red
60614,6,big,green
60615,5,big,red
60616,7,big,blue
60617,6,big,green
60618,8,big,red
60619,8,big,red
60620,4,small,green
60621,5,big,red
60622,6,big,green
60623,4,small,green
60624,6,big,green
60625,8,big,red
60626,9,big,green
60627,1,small,green
60628,5,big,red
60629,6,big,green
60630,6,big,green
60631,9,big,green
60632,5,big,red
60633,4,small,green
60634,2,small,blue
60635,8,big,red
60636,8,big,red
60637,7,big,blue
60638,6,big,green
60639,8,big,red
60640,7,big,blue
60641,1,small,green
60642,6,big,green
60643,0,small,red
60644,3,small,red
60645,9,big,green
60646,8,big,red
60647,1,small,green
60648,6,big,green
60649,0,small,red
60650,9,big,green
60651,8,big,red
60652,0,small,red
60653,7,big,blue
60654,5,big,red
60655,5,big,red
60656,4,small,green
60657,7,big,blue
60658,7,big,blue
60659,0,small,red
60660,0,small,red
60661,2,small,blue
60662,2,small,blue
60663,9,big,green
60664,5,big,red
60665,5,big,red
60666,5,big,red
60667,0,small,red
60668,7,big,blue
60669,0,small,red
60670,5,big,red
60671,3,small,red
60672,1,small,green
60673,0,small,red
60674,8,big,red
60675,3,small,red
60676,5,big,red
60677,0,small,red
60678,2,small,blue
60679,9,big,green
60680,5,big,red
60681,7,big,blue
60682,7,big,blue
60683,2,small,blue
60684,3,small,red
60685,8,big,red
60686,0,small,red
60687,0,small,red
60688,6,big,green
60689,1,small,green
60690,7,big,blue
60691,7,big,blue
60692,8,big,red
60693,3,small,red
60694,1,small,green
60695,3,small,red
60696,6,big,green
60697,4,small,green
60698,2,small,blue
60699,3,small,red
60700,7,big,blue
60701,1,small,green
60702,9,big,green
60703,6,big,green
60704,3,small,red
60705,3,small,red
60706,0,small,red
60707,8,big,red
60708,9,big,green
60709,6,big,green
60710,9,big,green
60711,7,big,blue
60712,6,big,green
60713,5,big,red
60714,9,big,green
60715,0,small,red
60716,9,big,green
60717,6,big,green
60718,8,big,red
60719,2,small,blue
60720,0,small,red
60721,5,big,red
60722,2,small,blue
60723,3,small,red
60724,1,small,green
60725,7,big,blue
60726,6,big,green
60727,2,small,blue
60728,8,big,red
60729,5,big,red
60730,1,small,green
60731,3,small,red
60732,1,small,green
60733,8,big,red
60734,7,big,blue
60735,4,small,green
60736,2,small,blue
60737,5,big,red
60738,7,big,blue
60739,2,small,blue
60740,9,big,green
60741,3,small,red
60742,3,small,red
60743,7,big,blue
60744,9,big,green
60745,3,small,red
60746,8,big,red
60747,8,big,red
60748,4,small,green
60749,2,small,blue
60750,0,small,red
60751,8,big,red
60752,1,small,green
60753,2,small,blue
60754,3,small,red
60755,4,small,green
60756,0,small,red
60757,2,small,blue
60758,4,small,green
60759,5,big,red
60760,3,small,red
60761,9,big,green
60762,5,big,red
60763,9,big,green
60764,3,small,red
60765,1,small,green
60766,0,small,red
60767,2,small,blue
60768,0,small,red
60769,3,small,red
60770,2,small,blue
60771,6,big,green
60772,1,small,green
60773,8,big,red
60774,5,big,red
60775,7,big,blue
60776,2,small,blue
60777,5,big,red
60778,7,big,blue
60779,9,big,green
60780,3,small,red
60781,5,big,red
60782,7,big,blue
60783,4,small,green
60784,1,small,green
60785,4,small,green
60786,7,big,blue
60787,9,big,green
60788,5,big,red
60789,4,small,green
60790,7,big,blue
60791,6,big,green
60792,3,small,red
60793,1,small,green
60794,3,small,red
60795,1,small,green
60796,7,big,blue
60797,9,big,green
60798,6,big,green
60799,1,small,green
60800,5,big,red
60801,0,small,red
60802,7,big,blue
60803,8,big,red
60804,8,big,red
60805,5,big,red
60806,8,big,red
60807,7,big,blue
60808,2,small,blue
60809,0,small,red
60810,3,small,red
60811,0,small,red
60812,6,big,green
60813,1,small,green
60814,6,big,green
60815,8,big,red
60816,7,big,blue
60817,7,big,blue
60818,3,small,red
60819,0,small,red
60820,2,small,blue
60821,6,big,green
60822,7,big,blue
60823,8,big,red
60824,2,small,blue
60825,1,small,green
60826,9,big,green
60827,1,small,green
60828,0,small,red
60829,9,big,green
60830,1,small,green
60831,9,big,green
60832,6,big,green
60833,2,small,blue
60834,9,big,green
60835,3,small,red
60836,2,small,blue
60837,7,big,blue
60838,0,small,red
60839,2,small,blue
60840,6,big,green
60841,7,big,blue
60842,1,small,green
60843,9,big,green
60844,4,small,green
60845,9,big,green
60846,0,small,red
60847,3,small,red
60848,4,small,green
60849,8,big,red
60850,7,big,blue
60851,7,big,blue
60852,2,small,blue
60853,4,small,green
60854,6,big,green
60855,0,small,red
60856,9,big,green
60857,5,big,red
60858,2,small,blue
60859,4,small,green
60860,0,small,red
60861,1,small,green
60862,2,small,blue
60863,1,small,green
60864,0,small,red
60865,6,big,green
60866,1,small,green
60867,2,small,blue
60868,2,small,blue
60869,3,small,red
60870,6,big,green
60871,8,big,red
60872,5,big,red
60873,8,big,red
60874,7,big,blue
60875,1,small,green
60876,8,big,red
60877,5,big,red
60878,0,small,red
60879,3,small,red
60880,7,big,blue
60881,8,big,red
60882,3,small,red
60883,7,big,blue
60884,5,big,red
60885,2,small,blue
60886,4,small,green
60887,1,small,green
60888,3,small,red
60889,9,big,green
60890,3,small,red
60891,5,big,red
60892,3,small,red
60893,6,big,green
60894,6,big,green
60895,0,small,red
60896,4,small,green
60897,1,small,green
60898,4,small,green
60899,1,small,green
60900,3,small,red
60901,3,small,red
60902,5,big,red
60903,2,small,blue
60904,3,small,red
60905,6,big,green
60906,0,small,red
60907,4,small,green
60908,3,small,red
60909,5,big,red
60910,7,big,blue
60911,8,big,red
60912,3,small,red
60913,0,small,red
60914,2,small,blue
60915,8,big,red
60916,9,big,green
60917,2,small,blue
60918,1,small,green
60919,7,big,blue
60920,0,small,red
60921,3,small,red
60922,7,big,blue
60923,6,big,green
60924,5,big,red
60925,7,big,blue
60926,7,big,blue
60927,9,big,green
60928,0,small,red
60929,0,small,red
60930,4,small,green
60931,8,big,red
60932,1,small,green
60933,4,small,green
60934,5,big,red
60935,5,big,red
60936,9,big,green
60937,9,big,green
60938,5,big,red
60939,8,big,red
60940,3,small,red
60941,3,small,red
60942,2,small,blue
60943,7,big,blue
60944,6,big,green
60945,3,small,red
60946,5,big,red
60947,6,big,green
60948,6,big,green
60949,0,small,red
60950,8,big,red
60951,7,big,blue
60952,1,small,green
60953,6,big,green
60954,1,small,green
60955,1,small,green
60956,2,small,blue
60957,0,small,red
60958,8,big,red
60959,6,big,green
60960,9,big,green
60961,8,big,red
60962,8,big,red
60963,5,big,red
60964,7,big,blue
60965,5,big,red
60966,6,big,green
60967,9,big,green
60968,0,small,red
60969,5,big,red
60970,4,small,green
60971,7,big,blue
60972,8,big,red
60973,1,small,green
60974,9,big,green
60975,3,small,red
60976,9,big,green
60977,8,big,red
60978,8,big,red
60979,9,big,green
60980,9,big,green
60981,3,small,red
60982,1,small,green
60983,4,small,green
60984,2,small,blue
60985,2,small,blue
60986,2,small,blue
60987,5,big,red
60988,4,small,green
60989,0,small,red
60990,2,small,blue
60991,7,big,blue
60992,4,small,green
60993,2,small,blue
60994,6,big,green
60995,0,small,red
60996,4,small,green
60997,4,small,green
60998,9,big,green
60999,6,big,green
